,Sha1ID,Malicious,Day count Mean,Day count STD,max Day count,min Day count,Size,DTW k-mean,DTW k-median,DTW k-STD,DTW k-Malicious(%),Euclidean k-mean,Euclidean k-median,Euclidean k-STD,Euclidean k-Malicious(%)
0,1147,True,0.08333333333333333,0.2886751345948129,1,0,1622,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
1,1740,True,0.08333333333333333,0.2886751345948129,1,0,997598,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
2,2155,True,0.08333333333333333,0.2886751345948129,1,0,857088,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
3,4917,True,0.25,0.4522670168666454,1,0,1446,0.0,0.0,0.0,100.0,1.5773016719990252,1.7320508075688772,0.2131965497901276,100.0
4,8426,True,0.08333333333333333,0.2886751345948129,1,0,1922193,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
5,10240,True,0.16666666666666666,0.3892494720807615,1,0,326656,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
6,11086,True,0.08333333333333333,0.2886751345948129,1,0,1918620,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
7,13366,True,0.08333333333333333,0.2886751345948129,1,0,31443,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
8,19227,True,0.08333333333333333,0.2886751345948129,1,0,29184,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
9,21191,True,1.1666666666666667,1.4034589305344742,5,0,197632,6.466666666666668,7.0,1.203698005684519,100.0,3.752316267035459,3.741657386773941,0.3465871205643408,100.0
10,25103,True,0.08333333333333333,0.2886751345948129,1,0,857088,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
11,27367,True,0.08333333333333333,0.2886751345948129,1,0,922,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
12,36594,True,0.08333333333333333,0.2886751345948129,1,0,857088,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
13,42658,True,0.08333333333333333,0.2886751345948129,1,0,857088,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
14,42809,True,0.16666666666666666,0.38924947208076144,1,0,11195352,0.0,0.0,0.0,100.0,0.13333333333333333,0.0,0.33993463423951903,100.0
15,57190,True,0.08333333333333333,0.2886751345948129,1,0,783360,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
16,59112,True,0.08333333333333333,0.2886751345948129,1,0,405504,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
17,62761,True,0.08333333333333333,0.2886751345948129,1,0,783360,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
18,75438,True,0.08333333333333333,0.2886751345948129,1,0,30720,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
19,79524,True,0.08333333333333333,0.2886751345948129,1,0,611328,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
20,83152,True,0.08333333333333333,0.2886751345948129,1,0,559559,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
21,91215,True,0.16666666666666666,0.5773502691896257,2,0,306688,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
22,92953,True,0.08333333333333333,0.2886751345948129,1,0,8849,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
23,96171,True,0.08333333333333333,0.2886751345948129,1,0,3100235,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
24,108046,True,0.08333333333333333,0.2886751345948129,1,0,7325,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
25,109140,True,0.08333333333333333,0.2886751345948129,1,0,883,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
26,119470,True,0.08333333333333333,0.2886751345948129,1,0,138752,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
27,119811,True,0.25,0.4522670168666454,1,0,510464,0.0,0.0,0.0,100.0,0.9266329957741112,1.0,0.584252763059531,100.0
28,120901,True,0.08333333333333333,0.2886751345948129,1,0,105984,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
29,124366,True,0.08333333333333333,0.2886751345948129,1,0,62464,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
30,131417,True,0.08333333333333333,0.2886751345948129,1,0,857088,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
31,137923,True,1.0833333333333333,1.5642792899510296,5,0,499712,7.133333333333334,8.0,1.3097921802925672,100.0,4.356348565067716,4.58257569495584,0.471409778889303,100.0
32,145430,True,0.9166666666666666,1.3789543689024493,4,0,5149,3.6,4.0,0.6110100926607788,100.0,3.1335699777019186,3.4641016151377544,0.560421741350678,100.0
33,164360,True,0.08333333333333333,0.2886751345948129,1,0,1611191,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
34,170193,True,0.08333333333333333,0.2886751345948129,1,0,33733,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
35,171790,True,0.08333333333333333,0.2886751345948129,1,0,4527616,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
36,183789,True,0.08333333333333333,0.2886751345948129,1,0,637440,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
37,186242,True,0.08333333333333333,0.2886751345948129,1,0,567,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
38,188539,True,0.08333333333333333,0.2886751345948129,1,0,857088,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
39,194684,True,0.16666666666666666,0.38924947208076144,1,0,544122,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
