,Sha1ID,MoreThan10,Malicious,Day_Array,Hour_Array,Mean,Std,Size
0,1147,False,True,[0 0 0 0 0 1 0 0 0 0 0 0],,0.08333333333333333,0.28867513459481287,1622
1,1740,False,True,[0 0 0 0 0 0 0 0 0 0 1 0],,0.08333333333333333,0.28867513459481287,997598
2,2155,False,True,[0 0 0 1 0 0 0 0 0 0 0 0],,0.08333333333333333,0.28867513459481287,857088
3,4917,False,True,[0 1 1 0 0 0 0 0 0 0 1 0],,0.25,0.45226701686664544,1446
4,8426,False,True,[0 0 1 0 0 0 0 0 0 0 0 0],,0.08333333333333333,0.28867513459481287,1922193
5,10240,False,True,[0 0 0 0 0 0 1 0 0 1 0 0],,0.16666666666666666,0.3892494720807615,326656
6,11086,False,True,[0 0 0 0 0 0 1 0 0 0 0 0],,0.08333333333333333,0.28867513459481287,1918620
7,13366,False,True,[0 0 0 0 0 0 0 1 0 0 0 0],,0.08333333333333333,0.28867513459481287,31443
8,19227,False,True,[0 0 0 0 0 0 0 0 1 0 0 0],,0.08333333333333333,0.28867513459481287,29184
9,21191,True,True,[2 5 1 0 1 0 1 1 1 2 0 0],,1.1666666666666667,1.403458930534474,197632
10,25103,False,True,[0 0 0 1 0 0 0 0 0 0 0 0],,0.08333333333333333,0.28867513459481287,857088
11,27367,False,True,[1 0 0 0 0 0 0 0 0 0 0 0],,0.08333333333333333,0.28867513459481287,922
12,36594,False,True,[0 0 0 0 0 0 0 1 0 0 0 0],,0.08333333333333333,0.28867513459481287,857088
13,42658,False,True,[0 0 0 1 0 0 0 0 0 0 0 0],,0.08333333333333333,0.28867513459481287,857088
14,42809,False,True,[0 1 0 0 0 0 0 1 0 0 0 0],,0.16666666666666666,0.38924947208076144,11195352
15,57190,False,True,[0 0 1 0 0 0 0 0 0 0 0 0],,0.08333333333333333,0.28867513459481287,783360
16,59112,False,True,[0 0 0 0 0 0 0 0 1 0 0 0],,0.08333333333333333,0.28867513459481287,405504
17,62761,False,True,[0 0 0 0 0 0 1 0 0 0 0 0],,0.08333333333333333,0.28867513459481287,783360
18,75438,False,True,[0 0 0 0 0 0 0 0 0 0 1 0],,0.08333333333333333,0.28867513459481287,30720
19,79524,False,True,[0 0 0 0 0 0 0 0 0 1 0 0],,0.08333333333333333,0.28867513459481287,611328
20,83152,False,True,[0 0 0 0 0 0 0 1 0 0 0 0],,0.08333333333333333,0.28867513459481287,559559
21,91215,False,True,[0 0 0 0 0 0 0 0 2 0 0 0],,0.16666666666666666,0.5773502691896257,306688
22,92953,False,True,[0 1 0 0 0 0 0 0 0 0 0 0],,0.08333333333333333,0.28867513459481287,8849
23,96171,False,True,[0 0 0 0 0 0 0 1 0 0 0 0],,0.08333333333333333,0.28867513459481287,3100235
24,108046,False,True,[0 0 0 0 1 0 0 0 0 0 0 0],,0.08333333333333333,0.28867513459481287,7325
25,109140,False,True,[0 0 0 0 0 0 0 0 1 0 0 0],,0.08333333333333333,0.28867513459481287,883
26,119470,False,True,[0 1 0 0 0 0 0 0 0 0 0 0],,0.08333333333333333,0.28867513459481287,138752
27,119811,False,True,[0 0 1 0 0 0 1 1 0 0 0 0],,0.25,0.45226701686664544,510464
28,120901,False,True,[0 0 0 0 0 0 0 1 0 0 0 0],,0.08333333333333333,0.28867513459481287,105984
29,124366,False,True,[0 0 0 0 0 0 1 0 0 0 0 0],,0.08333333333333333,0.28867513459481287,62464
30,131417,False,True,[0 0 0 1 0 0 0 0 0 0 0 0],,0.08333333333333333,0.28867513459481287,857088
31,137923,True,True,[3 1 0 0 0 0 1 2 5 1 0 0],,1.0833333333333333,1.5642792899510296,499712
32,145430,True,True,[0 1 0 0 1 0 3 2 4 0 0 0],,0.9166666666666666,1.3789543689024493,5149
33,164360,False,True,[0 0 0 0 0 0 0 1 0 0 0 0],,0.08333333333333333,0.28867513459481287,1611191
34,170193,False,True,[0 0 0 0 0 0 0 0 0 1 0 0],,0.08333333333333333,0.28867513459481287,33733
35,171790,False,True,[0 0 0 0 0 0 1 0 0 0 0 0],,0.08333333333333333,0.28867513459481287,4527616
36,183789,False,True,[0 0 0 0 1 0 0 0 0 0 0 0],,0.08333333333333333,0.28867513459481287,637440
37,186242,False,True,[0 0 0 0 0 0 0 0 0 0 1 0],,0.08333333333333333,0.28867513459481287,567
38,188539,False,True,[0 0 0 1 0 0 0 0 0 0 0 0],,0.08333333333333333,0.28867513459481287,857088
39,194684,False,True,[0 1 0 0 0 0 0 0 1 0 0 0],,0.16666666666666666,0.38924947208076144,544122
40,203298,False,True,[1 0 0 0 0 0 0 0 0 0 0 0],,0.08333333333333333,0.28867513459481287,852952
41,205057,False,True,[0 0 1 0 0 0 0 0 0 0 0 0],,0.08333333333333333,0.28867513459481287,129547
42,205351,False,True,[0 0 0 0 1 0 0 0 0 0 0 0],,0.08333333333333333,0.28867513459481287,857088
43,206436,False,True,[0 0 0 0 0 0 0 0 1 0 0 0],,0.08333333333333333,0.28867513459481287,20344
44,211470,True,True,[5 1 0 0 0 0 3 2 2 1 0 0],,1.1666666666666667,1.5859229221975182,3237082
45,221533,False,True,[0 0 0 1 0 0 0 0 0 0 0 0],,0.08333333333333333,0.28867513459481287,857088
46,228563,False,True,[0 0 0 0 0 0 0 0 1 0 0 0],,0.08333333333333333,0.28867513459481287,70903
47,230579,False,True,[0 0 0 0 0 0 0 0 1 0 0 0],,0.08333333333333333,0.28867513459481287,766968
48,231583,False,True,[0 0 1 0 0 0 0 0 0 0 0 0],,0.08333333333333333,0.28867513459481287,3942912
