,Sha1ID,MoreThan100,Malicious,day_Array,hour_Array,mean,std,size
48,9048764,TRUE,FALSE,[  0   0   0   0   1   1   2   4   2 150  63   0],,18.58333333,45.07661828,3813680
49,9077759,TRUE,FALSE,[ 0  0  0  0  0  0  0  1  2 92  8  0],,8.583333333,26.36960486,3815224
50,9554220,TRUE,FALSE,[ 0  0  0  0  2  0  1  0  2 19 77  0],,8.416666667,22.25659589,5743408
51,9585456,TRUE,FALSE,[ 3  9 29 19  8 27 10  2 12  3  0  0],,10.16666667,10.00757289,1565
52,9597395,TRUE,FALSE,[  0   0   0   0   4  12   6  19  29 174 305   0],,45.75,95.146896,5743416
53,9773492,TRUE,FALSE,[ 8 21 15  8  9  8  7  6 15 19 13  0],,10.75,5.971523332,1111
54,10565975,TRUE,FALSE,[39 28  5  2  5  3  5  6  2  4  2  0],,8.416666667,12.07144138,158556
55,10610374,TRUE,FALSE,[23 10  4  2  0 12 12 32 25  2  2  0],,10.33333333,10.92397974,87884
56,10856609,TRUE,FALSE,[   0    0    0    0    5   17   69   93   46  928 2273    0],,285.9166667,678.4054109,3907384
57,10989773,TRUE,FALSE,[ 0  0  0  0  1  2  3  0  0 59 65  0],,10.83333333,23.95386981,5743416
58,11181474,TRUE,FALSE,[34 14 12  5  0 15 21 44 21  4  3  0],,14.41666667,13.80025252,182432
59,11599865,TRUE,FALSE,[  0   0   0   0   0   0   0   2   2  66 122   0],,16,38.34769165,3813168
60,11606995,TRUE,FALSE,[118  49  39   7   0   0   0   0   0   0   0   0],,17.75,35.8205756,13834571
61,11618792,TRUE,FALSE,[13 10  4  1 10  7 18 17 10 49 80  0],,18.25,23.26184938,13887808
62,12076675,TRUE,FALSE,[ 0  0  0  0  3 48 52 39 23 22  5  0],,16,20.23498321,66945
63,12151762,TRUE,FALSE,[22  6  6  0  0 15 30 23 18 17  3  0],,11.66666667,10.43885516,467738
64,12195666,TRUE,FALSE,[71  6  8  3 13  4 74 86 50 35  9  0],,29.91666667,32.01266321,79888
65,12388450,TRUE,FALSE,[26 14  8  4  0  8 35 37 19 16  4  0],,14.25,12.81423214,50688
66,12448994,TRUE,FALSE,[  0   0   0   0   0   0   0   0   0 119  17   0],,11.33333333,34.25660741,3815736
67,12534855,TRUE,FALSE,[  0   0   0   0   0   0   1   2   5 135 141   0],,23.66666667,53.44042279,3907384
68,12665287,TRUE,FALSE,[23 16  9  1 10 10 17  9  8 10  2  0],,9.583333333,6.761634194,7383787
69,12686832,TRUE,FALSE,[ 0  6  2  1  2  1 12  3  2 70 92  0],,15.91666667,30.93529415,9959320
70,12785515,TRUE,FALSE,[  0   0   0   0   0   1   4   1  10 109  61   0],,15.5,34.16138171,3815736
71,12909982,TRUE,FALSE,[ 9 14  3  5  5  9 24 18 20  6  8  0],,10.08333333,7.366488411,19236168
72,13038398,TRUE,FALSE,[  0   0   0   0   1   3   3   7   4 121 271   0],,34.16666667,82.10728385,3813176
73,13230781,TRUE,FALSE,[10 18  7  1 18  9 24 16 17 12  4  0],,11.33333333,7.499494932,53554
74,13261592,TRUE,FALSE,[  0   0   0   0   0   5   1   0   1  85 115   0],,17.25,39.20372199,3807032
75,13541293,TRUE,FALSE,[ 0  0  0  0  1  0  2  2  8 41 52  0],,8.833333333,17.8927783,3907376
76,13743663,TRUE,FALSE,[ 0  0  0  0  0  1  2  2  3 82 93  0],,15.25,33.84490025,3807032
77,13765011,TRUE,FALSE,[13 13 12  6  1  8 13 25 23  2  4  0],,10,8.124038405,2749744
78,13913453,TRUE,FALSE,[ 0  0  0  0  3  2  4 10  7 40 50  0],,9.666666667,16.94017996,5743408
79,14270616,TRUE,FALSE,[23 45 17  6 31 28 24 48 52 35 13  0],,26.83333333,16.40860824,30720
80,14375075,TRUE,FALSE,[53 33  2  1  2  7  6  6  4  1  0  0],,9.583333333,16.35658518,45139
81,14399833,TRUE,FALSE,[  6   9  24   6  24  17  15  12 187 121  71   0],,41,57.55787601,224
82,14404489,TRUE,FALSE,[34 13  8  2  0 17 36 41 20  1  4  0],,14.66666667,15.05947804,126664
83,14610190,TRUE,FALSE,[29 16 11  2  0  0 10 35 30  6  6  0],,12.08333333,12.67394129,81540
84,14693154,TRUE,FALSE,[ 0  0  0  0  1  1  1  2  1 79 38  0],,10.25,24.18160458,3815216
85,14790519,TRUE,FALSE,[40  5  4  0  1  0 15 39 18  0  2  0],,10.33333333,14.87727574,5692301
86,14799633,TRUE,FALSE,[ 29  42  32  12  49  42  53  60  46 123  86   0],,47.83333333,32.37797605,3679192
87,15019306,TRUE,FALSE,[ 0  0  0  0  2  1  0  2  2 46 98  0],,12.58333333,29.89818582,5743400
88,15231294,TRUE,FALSE,[  0   0   0   0   0   0   0   9   8 173 105   0],,24.58333333,55.47064471,3811640
89,15496779,TRUE,FALSE,[ 5 13  7  7  5  2 13 18 16 11 20  0],,9.75,6.397797917,679936
90,15558947,TRUE,FALSE,[  5   9  28  12  24  21  11  18 314 172 112   0],,60.5,95.01052573,719
91,15585962,TRUE,FALSE,[ 0  0  0  0  0  0  0  0  1 69 32  0],,8.5,21.14667393,3815736
92,15624917,TRUE,FALSE,[14 16  7  4  6  7 28 24 16 15 17  0],,12.83333333,8.288363511,1842059
93,15905570,TRUE,FALSE,[  0   0   0   0   0   0   1   2   0  26 107   0],,11.33333333,31.02589339,3907384
94,16119035,TRUE,FALSE,[11 38 13  8  7 23 18  3 15  5  1  0],,11.83333333,10.78579312,394
95,16171977,TRUE,FALSE,[ 1 21 19  9 22 14  2  2  7  3  2  0],,8.5,8.350285787,48
96,16199647,TRUE,FALSE,[ 67 169  71  29  98 110 200 199  61  47  42   0],,91.08333333,66.316676,1799384
97,16267203,TRUE,FALSE,[21 20  2  0 13  7 34 23 16 18  9  0],,13.58333333,10.42251351,1808233
98,16824298,TRUE,FALSE,[11 23 27 10 19 35 21 39 82 52 36  0],,29.58333333,21.84431831,299
99,17021703,TRUE,FALSE,[68 33 18  1 26 29 60 60 41 40 17  0],,32.75,22.26748547,2816696
100,17038132,TRUE,FALSE,[24 13 10  4  0 18 18 50 34  5  4  0],,15,15.09364707,555924
101,17087098,TRUE,FALSE,[ 30  20   7   2   7   5  24  23   9 113  71   0],,25.91666667,33.52464042,4401072
102,17247477,TRUE,FALSE,[154  46  24   6   5  35 192 177 101  78  23   0],,70.08333333,69.90962781,4698824
103,17844620,TRUE,FALSE,[19 14  6  3  1  5 28 11 11 10 10  0],,9.833333333,7.941070838,122958
104,18152140,TRUE,FALSE,[ 73  23  11   5   1  21  74  58  59 323 160   0],,67.33333333,92.58444139,4742576
105,18363249,TRUE,FALSE,[   0    0    0    0   12   20   47   61   77  842 2455    0],,292.8333333,721.0708997,3907384
106,18602318,TRUE,FALSE,[ 0  0  0  0  0  0  1  0  1 50 71  0],,10.25,23.89798394,3807040
107,18630913,TRUE,FALSE,[ 0  5  2  0 45 33 14  7  4  1  1  0],,9.333333333,14.64943892,6038
108,18876611,TRUE,FALSE,[  0   0   0   0   0   1  12   7   4 188  83   0],,24.58333333,56.56124329,3815224
