,Sha1ID,Malicious,Day count Mean,Day count STD,Max Day count,Min Day count,Size,WebFileUrlDomain,DTW k-mean,DTW k-median,DTW k-STD,DTW k-Malicious(%),Euclidean k-mean,Euclidean k-median,Euclidean k-STD,Euclidean k-Malicious(%)
34,170193,True,0.08333333333333333,0.2886751345948129,1.0,0.0,33733,aol.com,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
35,171790,True,0.08333333333333333,0.2886751345948129,1.0,0.0,4527616,yandex.ru,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
36,183789,True,0.08333333333333333,0.2886751345948129,1.0,0.0,637440,web.de,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
37,186242,True,0.08333333333333333,0.2886751345948129,1.0,0.0,567,aol.com,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
38,188539,True,0.08333333333333333,0.2886751345948129,1.0,0.0,857088,yandex.ru,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
39,194684,True,0.16666666666666666,0.38924947208076144,1.0,0.0,544122,yandex.ru,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
40,203298,True,0.08333333333333333,0.2886751345948129,1.0,0.0,852952,yandex.ru,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
41,205057,True,0.08333333333333333,0.2886751345948129,1.0,0.0,129547,aol.com,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
42,205351,True,0.08333333333333333,0.2886751345948129,1.0,0.0,857088,yandex.ru,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
43,206436,True,0.08333333333333333,0.2886751345948129,1.0,0.0,20344,luukku.com,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
44,211470,True,1.1666666666666667,1.5859229221975182,5.0,0.0,3237082,cldmail.ru,3.8,4.0,1.045625809423875,6.666666666666668,2.827657745358388,3.0,0.3710593058367444,0.0
45,221533,True,0.08333333333333333,0.2886751345948129,1.0,0.0,857088,yandex.ru,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
46,228563,True,0.08333333333333333,0.2886751345948129,1.0,0.0,70903,uol.com.br,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
47,230579,True,0.08333333333333333,0.2886751345948129,1.0,0.0,766968,yandex.ru,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
48,231583,True,0.08333333333333333,0.2886751345948129,1.0,0.0,3942912,qq.com,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
49,233719,True,0.08333333333333333,0.2886751345948129,1.0,0.0,578,aol.com,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
50,234445,True,0.08333333333333333,0.2886751345948129,1.0,0.0,914,mail.com,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
51,244126,True,0.08333333333333333,0.2886751345948129,1.0,0.0,114827,web.de,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
52,245359,True,0.08333333333333333,0.2886751345948129,1.0,0.0,832504,yandex.ru,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
53,253142,True,0.08333333333333333,0.2886751345948129,1.0,0.0,907,earthlink.net,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
