,Sha1ID,MoreThan10,Malicious,Day_Array,Hour_Array,Mean,Std,Size,WebFileUrlDomain
50,677272,TRUE,FALSE,[4 4 1 2 1 1 2 5 2 2 3 0],,2.25,1.484771179,335872,free.fr
51,689324,TRUE,FALSE,[ 0  0  0  0  0  0 32 45  0  0  0  0],,6.416666667,15.24024775,164259,live.com
52,733580,TRUE,FALSE,[0 0 0 0 0 0 0 0 1 9 8 0],,1.5,3.289100457,5540648,live.com
53,736387,TRUE,FALSE,[ 0  0  0  0  0  0  0  0  0 11  3  0],,1.166666667,3.214550254,5541168,live.com
54,744757,TRUE,FALSE,[ 0  0  0  0  0  0  0  0  0 14  4  0],,1.5,4.100997661,3813176,live.com
55,760443,TRUE,FALSE,[ 0  0  0  0  0  0 12  0  0  0  0  0],,1,3.464101615,787448,yandex.ru
56,768002,TRUE,FALSE,[ 0  0  0  0  0  1  0  0  1  2 21  0],,2.083333333,5.991787309,5540648,live.com
57,790325,TRUE,FALSE,[0 1 0 0 0 1 0 4 1 1 3 0],,0.916666667,1.311372171,143360,hanmail.net
58,812335,TRUE,FALSE,[5 0 1 1 5 0 0 0 0 0 0 0],,1,1.906925178,66585,cldmail.ru
59,822137,TRUE,FALSE,[6 0 2 0 0 0 5 2 1 2 1 0],,1.583333333,2.020725942,243810,yandex.ru
60,832995,TRUE,FALSE,[7 8 1 1 3 2 7 7 6 2 1 0],,3.75,2.98861476,926411,cldmail.ru
61,859476,TRUE,FALSE,[17 25 21 20  8  1  0  0  0  1  0  0],,7.75,10.0011363,3907376,live.com
62,863088,TRUE,FALSE,[7 0 0 0 1 3 9 9 4 5 2 0],,3.333333333,3.472838329,2690560,cldmail.ru
63,909341,TRUE,FALSE,[13  8  6  1  0  0  5 13  5  1  2  0],,4.5,4.776838057,6576547,cldmail.ru
64,957969,TRUE,FALSE,[ 0  0  0  0  0  0  0  0  0  0 14  0],,1.166666667,4.041451884,74390,cldmail.ru
65,967634,TRUE,FALSE,[ 7  1  1  2  0  0  3 16 12  3  2  0],,3.916666667,5.160308894,511488,cldmail.ru
