,K best distances,K is malicius,K's mean,K's median,K's std,K's malicios percentage,K's clean percentage,All's mean,All's median,All's std_i,Max dist,Min dist
4519,"[4.0, 4.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 6.0, 6.0, 6.0, 6.0, 7.0, 7.0, 7.0]","[False, False, True, False, False, False, False, False, False, False, False, False, False, False, False]",5.533333333333333,5.0,0.9568466729604883,6.666666666666667,93.33333333333333,4190.896769109535,44.0,150406.48697414825,6699555.0,4.0
4520,"[10.0, 11.0, 12.0, 12.0, 12.0, 12.0, 13.0, 13.0, 13.0, 13.0, 13.0, 14.0, 14.0, 15.0, 15.0]","[False, False, True, False, False, False, False, False, False, False, False, False, False, False, False]",12.8,13.0,1.3266499161421599,6.666666666666667,93.33333333333333,4234.920212765957,113.0,150105.490658167,6686066.0,10.0
4521,"[3.0, 4.0, 4.0, 4.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 6.0, 6.0, 6.0]","[False, True, True, False, True, True, False, False, False, False, False, False, True, True, True]",4.866666666666666,5.0,0.8055363982396382,46.666666666666664,53.333333333333336,4227.357959022853,23.0,151021.68950439972,6727395.0,3.0
4522,"[3.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0]","[False, True, True, False, False, False, False, True, True, False, False, False, False, False, False]",5.4,6.0,0.8,26.666666666666668,73.33333333333333,4225.614854215918,18.0,151021.8205402438,6727398.0,3.0
4523,"[17.0, 20.0, 24.0, 31.0, 32.0, 33.0, 34.0, 38.0, 44.0, 47.0, 48.0, 50.0, 53.0, 53.0, 56.0]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",38.666666666666664,38.0,12.152731745944568,0.0,100.0,4457.127659574468,427.0,149057.9821611964,6638946.0,17.0
4524,"[10.0, 14.0, 15.0, 17.0, 17.0, 18.0, 18.0, 19.0, 19.0, 19.0, 19.0, 20.0, 20.0, 21.0, 21.0]","[False, False, True, False, False, False, False, False, False, False, False, False, False, False, False]",17.8,19.0,2.8331372481167705,6.666666666666667,93.33333333333333,4222.86426319937,104.0,150252.9877828736,6692697.0,10.0
4525,"[13.0, 14.0, 15.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 17.0, 17.0, 17.0, 17.0, 17.0]","[True, False, False, True, False, False, False, False, False, False, True, False, False, False, False]",15.933333333333334,16.0,1.1234866364235145,20.0,80.0,4273.99487785658,198.0,149794.86461121956,6672044.0,13.0
4526,"[56.0, 57.0, 58.0, 60.0, 64.0, 74.0, 79.0, 84.0, 90.0, 95.0, 95.0, 99.0, 101.0, 101.0, 103.0]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",81.06666666666666,84.0,17.51748333015397,0.0,100.0,4622.38987391647,735.0,148275.67869325806,6604019.0,56.0
4527,"[4.0, 4.0, 5.0, 5.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 7.0]","[False, False, False, False, True, False, False, False, False, False, False, False, False, False, True]",5.666666666666667,6.0,0.7888106377466154,13.333333333333334,86.66666666666667,4221.896769109535,37.0,150867.25651778682,6720434.0,4.0
4528,"[1.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 3.0, 3.0]","[True, True, True, True, True, True, True, True, True, True, False, False, True, True, True]",2.066666666666667,2.0,0.573488351136175,86.66666666666667,13.333333333333334,4204.73463356974,10.0,150867.41076416709,6720396.0,1.0
