,Sha1ID,MoreThan10,Malicious,Day_Array,Hour_Array,Mean,Std,Size,WebFileUrlDomain
0,1147,False,True,[0 0 0 0 0 1 0 0 0 0 0 0],,0.08333333333333333,0.28867513459481287,1622,telstra.com
1,1740,False,True,[0 0 0 0 0 0 0 0 0 0 1 0],,0.08333333333333333,0.28867513459481287,997598,webmail-seguro.com.br
2,2155,False,True,[0 0 0 1 0 0 0 0 0 0 0 0],,0.08333333333333333,0.28867513459481287,857088,yandex.ru
3,4917,False,True,[0 1 1 0 0 0 0 0 0 0 1 0],,0.25,0.45226701686664544,1446,uol.com.br
4,8426,False,True,[0 0 1 0 0 0 0 0 0 0 0 0],,0.08333333333333333,0.28867513459481287,1922193,datacloudmail.ru
5,10240,False,True,[0 0 0 0 0 0 1 0 0 1 0 0],,0.16666666666666666,0.3892494720807615,326656,qq.com
6,11086,False,True,[0 0 0 0 0 0 1 0 0 0 0 0],,0.08333333333333333,0.28867513459481287,1918620,chat.ru
7,13366,False,True,[0 0 0 0 0 0 0 1 0 0 0 0],,0.08333333333333333,0.28867513459481287,31443,excite.com
8,19227,False,True,[0 0 0 0 0 0 0 0 1 0 0 0],,0.08333333333333333,0.28867513459481287,29184,mail.bg
9,21191,True,True,[2 5 1 0 1 0 1 1 1 2 0 0],,1.1666666666666667,1.403458930534474,197632,yandex.ru
10,25103,False,True,[0 0 0 1 0 0 0 0 0 0 0 0],,0.08333333333333333,0.28867513459481287,857088,yandex.ru
11,27367,False,True,[1 0 0 0 0 0 0 0 0 0 0 0],,0.08333333333333333,0.28867513459481287,922,aol.com
12,36594,False,True,[0 0 0 0 0 0 0 1 0 0 0 0],,0.08333333333333333,0.28867513459481287,857088,yandex.ru
13,42658,False,True,[0 0 0 1 0 0 0 0 0 0 0 0],,0.08333333333333333,0.28867513459481287,857088,yandex.ru
14,42809,False,True,[0 1 0 0 0 0 0 1 0 0 0 0],,0.16666666666666666,0.38924947208076144,11195352,yandex.ru
15,57190,False,True,[0 0 1 0 0 0 0 0 0 0 0 0],,0.08333333333333333,0.28867513459481287,783360,yandex.ru
16,59112,False,True,[0 0 0 0 0 0 0 0 1 0 0 0],,0.08333333333333333,0.28867513459481287,405504,qq.com
17,62761,False,True,[0 0 0 0 0 0 1 0 0 0 0 0],,0.08333333333333333,0.28867513459481287,783360,yandex.ru
